x_axis,desired_pos,actual_pos,error,actual_vel,commanded_torque
5.900000000000000000e+01,-1.292920000000000007e-02,-3.920060000000000211e-02,2.627140000000000031e-02,8.715199999999999614e-01,-1.052630000000000088e+01
6.000000000000000000e+01,-1.233099999999999995e-02,-3.914820000000000105e-02,2.681719999999999937e-02,1.048850000000000060e-01,1.052630000000000088e+01
6.100000000000000000e+01,-1.170019999999999914e-02,-3.947860000000000258e-02,2.777840000000000170e-02,-6.609540000000000415e-01,1.052630000000000088e+01
6.200000000000000000e+01,-1.109680000000000041e-02,-4.019160000000000094e-02,2.909480000000000052e-02,-1.426029999999999909e+00,1.052630000000000088e+01
6.300000000000000000e+01,-1.046680000000000006e-02,-4.052000000000000046e-02,3.005320000000000213e-02,-6.567800000000000304e-01,1.052630000000000088e+01
6.400000000000000000e+01,-9.861899999999999833e-03,-4.046369999999999828e-02,3.060179999999999845e-02,1.126110000000000028e-01,1.052630000000000088e+01
6.500000000000000000e+01,-9.233859999999999985e-03,-4.002270000000000133e-02,3.078884000000000135e-02,8.821280000000000232e-01,-7.159860000000000113e+00
6.600000000000000000e+01,-8.635570000000000399e-03,-3.919720000000000149e-02,3.056162999999999935e-02,1.650830000000000020e+00,-1.052630000000000088e+01
6.700000000000000000e+01,-8.008349999999999150e-03,-3.798789999999999806e-02,2.997955000000000064e-02,2.418699999999999850e+00,-1.052630000000000088e+01
6.800000000000000000e+01,-7.406170000000000114e-03,-3.703599999999999948e-02,2.962982999999999936e-02,1.903759999999999897e+00,-1.052630000000000088e+01
6.900000000000000000e+01,-6.778629999999999899e-03,-3.646769999999999873e-02,2.968906999999999796e-02,1.136579999999999924e+00,-1.052630000000000088e+01
7.000000000000000000e+01,-6.178440000000000321e-03,-3.628259999999999819e-02,3.010415999999999787e-02,3.701720000000000010e-01,1.052630000000000088e+01
7.100000000000000000e+01,-5.551780000000000083e-03,-3.648040000000000310e-02,3.092862000000000389e-02,-3.954639999999999822e-01,1.052630000000000088e+01
7.200000000000000000e+01,-4.953599999999999844e-03,-3.706050000000000316e-02,3.210690000000000072e-02,-1.160349999999999993e+00,1.052630000000000088e+01
7.300000000000000000e+01,-4.326680000000000283e-03,-3.725679999999999964e-02,3.293012000000000022e-02,-3.924830000000000263e-01,1.052630000000000088e+01
7.400000000000000000e+01,-3.729370000000000081e-03,-3.706899999999999779e-02,3.333962999999999510e-02,3.755229999999999957e-01,1.052630000000000088e+01
7.500000000000000000e+01,-3.104529999999999876e-03,-3.649720000000000047e-02,3.339266999999999930e-02,1.143650000000000055e+00,-1.052630000000000088e+01
7.600000000000000000e+01,-2.508119999999999968e-03,-3.554170000000000246e-02,3.303357999999999989e-02,1.911040000000000072e+00,-1.052630000000000088e+01
7.700000000000000000e+01,-1.884229999999999976e-03,-3.420290000000000136e-02,3.231867000000000073e-02,2.677659999999999929e+00,-1.052630000000000088e+01
