left_x,left_y,left_z,right_x,right_y,right_z,left_roll,left_pitch,left_yaw,right_roll,right_pitch,right_yaw
5.413090000000000401e-01,2.135469999999999868e-01,2.077660000000000062e-01,5.412970000000000281e-01,-2.136250000000000093e-01,2.073339999999999905e-01,3.017300000000000093e+00,1.413950000000000040e+00,-2.106200000000000017e-01,-3.018149999999999888e+00,1.413980000000000015e+00,2.096250000000000058e-01
5.413090000000000401e-01,2.135469999999999868e-01,2.077730000000000132e-01,5.412959999999999994e-01,-2.136250000000000093e-01,2.073270000000000113e-01,3.017300000000000093e+00,1.413950000000000040e+00,-2.106200000000000017e-01,-3.018149999999999888e+00,1.413980000000000015e+00,2.096250000000000058e-01
5.413080000000000114e-01,2.135469999999999868e-01,2.077799999999999925e-01,5.412959999999999994e-01,-2.136250000000000093e-01,2.073200000000000043e-01,3.017300000000000093e+00,1.413950000000000040e+00,-2.106200000000000017e-01,-3.018149999999999888e+00,1.413980000000000015e+00,2.096250000000000058e-01
5.413080000000000114e-01,2.135469999999999868e-01,2.077869999999999995e-01,5.412959999999999994e-01,-2.136250000000000093e-01,2.073129999999999973e-01,3.017300000000000093e+00,1.413950000000000040e+00,-2.106200000000000017e-01,-3.018149999999999888e+00,1.413980000000000015e+00,2.096250000000000058e-01
5.413080000000000114e-01,2.135469999999999868e-01,2.077940000000000065e-01,5.412949999999999706e-01,-2.136250000000000093e-01,2.073059999999999903e-01,3.017300000000000093e+00,1.413950000000000040e+00,-2.106200000000000017e-01,-3.018149999999999888e+00,1.413980000000000015e+00,2.096250000000000058e-01
5.413069999999999826e-01,2.135469999999999868e-01,2.078019999999999867e-01,5.412949999999999706e-01,-2.136250000000000093e-01,2.072990000000000110e-01,3.017300000000000093e+00,1.413950000000000040e+00,-2.106200000000000017e-01,-3.018149999999999888e+00,1.413980000000000015e+00,2.096250000000000058e-01
5.413069999999999826e-01,2.135469999999999868e-01,2.078089999999999937e-01,5.412949999999999706e-01,-2.136250000000000093e-01,2.072910000000000030e-01,3.017300000000000093e+00,1.413950000000000040e+00,-2.106200000000000017e-01,-3.018149999999999888e+00,1.413980000000000015e+00,2.096250000000000058e-01
5.413059999999999539e-01,2.135469999999999868e-01,2.078160000000000007e-01,5.412940000000000529e-01,-2.136250000000000093e-01,2.072839999999999960e-01,3.017300000000000093e+00,1.413950000000000040e+00,-2.106200000000000017e-01,-3.018149999999999888e+00,1.413980000000000015e+00,2.096250000000000058e-01
5.413059999999999539e-01,2.135469999999999868e-01,2.078240000000000087e-01,5.412940000000000529e-01,-2.136250000000000093e-01,2.072759999999999880e-01,3.017300000000000093e+00,1.413950000000000040e+00,-2.106200000000000017e-01,-3.018149999999999888e+00,1.413980000000000015e+00,2.096250000000000058e-01
5.413059999999999539e-01,2.135469999999999868e-01,2.078319999999999890e-01,5.412930000000000241e-01,-2.136250000000000093e-01,2.072690000000000088e-01,3.017300000000000093e+00,1.413950000000000040e+00,-2.106200000000000017e-01,-3.018149999999999888e+00,1.413980000000000015e+00,2.096250000000000058e-01
5.413050000000000361e-01,2.135469999999999868e-01,2.078389999999999960e-01,5.412930000000000241e-01,-2.136250000000000093e-01,2.072610000000000008e-01,3.017300000000000093e+00,1.413950000000000040e+00,-2.106200000000000017e-01,-3.018149999999999888e+00,1.413980000000000015e+00,2.096250000000000058e-01
5.413050000000000361e-01,2.135469999999999868e-01,2.078470000000000040e-01,5.412919999999999954e-01,-2.136250000000000093e-01,2.072529999999999928e-01,3.017300000000000093e+00,1.413950000000000040e+00,-2.106200000000000017e-01,-3.018149999999999888e+00,1.413980000000000015e+00,2.096250000000000058e-01
5.413040000000000074e-01,2.135469999999999868e-01,2.078550000000000120e-01,5.412919999999999954e-01,-2.136250000000000093e-01,2.072450000000000125e-01,3.017300000000000093e+00,1.413950000000000040e+00,-2.106200000000000017e-01,-3.018149999999999888e+00,1.413980000000000015e+00,2.096250000000000058e-01
5.413040000000000074e-01,2.135469999999999868e-01,2.078629999999999922e-01,5.412909999999999666e-01,-2.136250000000000093e-01,2.072370000000000045e-01,3.017300000000000093e+00,1.413950000000000040e+00,-2.106200000000000017e-01,-3.018149999999999888e+00,1.413980000000000015e+00,2.096250000000000058e-01
5.413029999999999786e-01,2.135469999999999868e-01,2.078720000000000012e-01,5.412909999999999666e-01,-2.136250000000000093e-01,2.072289999999999965e-01,3.017300000000000093e+00,1.413950000000000040e+00,-2.106200000000000017e-01,-3.018149999999999888e+00,1.413980000000000015e+00,2.096250000000000058e-01
5.413029999999999786e-01,2.135469999999999868e-01,2.078800000000000092e-01,5.412900000000000489e-01,-2.136250000000000093e-01,2.072199999999999875e-01,3.017300000000000093e+00,1.413950000000000040e+00,-2.106200000000000017e-01,-3.018149999999999888e+00,1.413980000000000015e+00,2.096250000000000058e-01
